run_id,region,overlay_unit_id,island_group_id,group_status,component_count,component_ids,centroid_lon,centroid_lat,land_area_ground_km2,land_area_projected_km2,perimeter_ground_km,extent_ground_km,largest_component_ground_area_km2,largest_component_area_share,primary_hex_id,group_primary_hex_id,covered_hex_count,surrounding_water_type,preservation_reason,representation_type,recommended_game_scale,artificial_status,geometry_hash
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,isl_g_b100730b47eb,PRESERVED,95,isl_c_009f8b4e3743|isl_c_00b40e80c48d|isl_c_01cb71f7f945|isl_c_067d68fdb43d|isl_c_07fb0854dd95|isl_c_084ec25e42fc|isl_c_0ba49b2e5e74|isl_c_0c2ac54da83d|isl_c_0dd062ce2af0|isl_c_0f5f2051f2ea|isl_c_11f914351225|isl_c_1206ad7a1810|isl_c_1300033bbd90|isl_c_19322972ad68|isl_c_1bd8fcfd598b|isl_c_20975447bdc7|isl_c_21ad10a74005|isl_c_243f99d7da7e|isl_c_289f6f853b3d|isl_c_2c1a86ad1e88|isl_c_2c6a328ac965|isl_c_301ca9ec5790|isl_c_311da4b52e14|isl_c_31a5871e461e|isl_c_336f2c9df72e|isl_c_363bc00c6d5a|isl_c_41f31665af6c|isl_c_4466ea61c559|isl_c_45abc2dbb0fe|isl_c_4606c6b5aa66|isl_c_46c350cd2c55|isl_c_4ae2fd4adf42|isl_c_4b56c18ca546|isl_c_4cd5bb4d2053|isl_c_4d3c7f9c7160|isl_c_4f92881b997b|isl_c_531708f3f8de|isl_c_55ac1066911e|isl_c_56639dad90e0|isl_c_582fb9623b2b|isl_c_5950825d179b|isl_c_5b2b7d8a584b|isl_c_5b4b29ae3faa|isl_c_61bf3cc5886c|isl_c_6682cbc9c2f5|isl_c_67fa9b4cd22c|isl_c_6a66032afe89|isl_c_6b425dcb774a|isl_c_6c5fc276fb30|isl_c_7289a975ba1f|isl_c_744c13662b57|isl_c_7b942c5dcfa8|isl_c_7be8f38d4e84|isl_c_7e073aba9cb3|isl_c_7faa23772a72|isl_c_8269783d7f46|isl_c_8c55e4d59c42|isl_c_8d98dbf38ba9|isl_c_8e285a9eb0d0|isl_c_91a7c9d3a1dd|isl_c_92ab7b6fc58b|isl_c_9496860b9377|isl_c_97c4e100b02c|isl_c_9ae61f185c79|isl_c_9c9e2212ba42|isl_c_a4859dce838d|isl_c_a49dec9a46a4|isl_c_aa0958e4c466|isl_c_ab660237325d|isl_c_ad62ca448dbe|isl_c_af82e8bc354b|isl_c_b0fba9183da5|isl_c_b441509e0cab|isl_c_b63d36f167d1|isl_c_b94e511854e1|isl_c_b97920fff579|isl_c_c22f99e30935|isl_c_c54b99018d92|isl_c_c78336f8d719|isl_c_c88ab6a7de2a|isl_c_c9ea1440159e|isl_c_d87e2f8c9788|isl_c_d89f693e6f3d|isl_c_d98356cce2d0|isl_c_db3873a510b0|isl_c_dd3add9828fc|isl_c_dfb5da1a4a29|isl_c_e49c28f0c237|isl_c_eb11a7a819d3|isl_c_ebdbf1ddfd23|isl_c_ef92cb8bdd44|isl_c_f6fb74a3e77e|isl_c_fa4cb8dee33a|isl_c_fbedb089047c|isl_c_ffc6ad276a4c,139.16847,35.04368,0.5426,0.8113,8.298,17.379,0.5138,0.947,h6000_q+002181_r+000802,h6000_q+002181_r+000802,6,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,b100730b47eb
geography_v1_3_islands_006r_20260809,kanto,isl_u_3ed4b031ff70,isl_g_3ed4b031ff70,PRESERVED,182,isl_c_018210ad01a2|isl_c_0334d42b2588|isl_c_03b31845067f|isl_c_041d791f3be1|isl_c_05b5cf6cbde7|isl_c_05bea039e06e|isl_c_069734d32f17|isl_c_073f514d8b11|isl_c_0765a583d29c|isl_c_0ac8a8b7c884|isl_c_0c0ad6f1bd23|isl_c_0d779b3ec6cf|isl_c_0d86300f2529|isl_c_0e8edcaaee21|isl_c_0fecf0f26315|isl_c_1067c32899ba|isl_c_128f83c836c9|isl_c_14a6c2ed17e2|isl_c_17dc5bd35aff|isl_c_1853a4cabc79|isl_c_19cc112e1e1b|isl_c_1ebed15d6508|isl_c_1fd4a0c1f110|isl_c_1ff34d5d6989|isl_c_207eddc5a0fe|isl_c_2130a8b24d22|isl_c_21d48ad91a7a|isl_c_22b8f491f71c|isl_c_231d304ed30a|isl_c_26a21b7b10d9|isl_c_29693c250c77|isl_c_29aca22cb316|isl_c_2ace8c2de8f2|isl_c_2b23d2bde24d|isl_c_2b393c75f837|isl_c_2c2e1eddb54c|isl_c_2c73c44f01c8|isl_c_2e877909b7c5|isl_c_2ea64444dcbd|isl_c_2f822e6a1c6b|isl_c_32a0abf8e90d|isl_c_34df1f89771b|isl_c_35447b9ed9ad|isl_c_356d5305c03f|isl_c_3a45cacb923d|isl_c_3abe670eaf6e|isl_c_3d97d7c52467|isl_c_3fa32a5e2dee|isl_c_403228cc2874|isl_c_422a44225b29|isl_c_42ab79ceb2ac|isl_c_42e1827dc690|isl_c_43353a93cf1d|isl_c_43a9429a856c|isl_c_43c0dfa1b2b7|isl_c_4d9973f07489|isl_c_4db42146c972|isl_c_4edc71450bb0|isl_c_51107864aaa3|isl_c_5430ab22e70f|isl_c_5514e806f7b8|isl_c_5693be792c24|isl_c_57a4c2855ac8|isl_c_57ddd5fb6288|isl_c_588f37a89d58|isl_c_58d3dd9efcf1|isl_c_59d3f4b8744a|isl_c_5cb59ec6d783|isl_c_5e0eeb4b59c6|isl_c_5e8ede5b9af4|isl_c_61ec9363ee50|isl_c_6210ec400973|isl_c_6213c604698f|isl_c_64401b0f4ba5|isl_c_64b061adb92f|isl_c_66a0963f257c|isl_c_680865ad7133|isl_c_6c59e5058948|isl_c_6e52d71e5121|isl_c_6fdf2f4ce426|isl_c_7033bc800f47|isl_c_7037f408d6f8|isl_c_74181510c3ed|isl_c_752ef27bbf8e|isl_c_7a624d20165c|isl_c_7aa9747a021d|isl_c_7cd7c8bab1ca|isl_c_7dc5989afdd3|isl_c_7dcb61979154|isl_c_82b3e092fb40|isl_c_839057f9950d|isl_c_84133bf193a1|isl_c_85e1c946e854|isl_c_86f5164f1f77|isl_c_881df7a7e2b6|isl_c_881e3c1c54ed|isl_c_886fba44c7d8|isl_c_89fbf1ae6e52|isl_c_8c8cc262fe23|isl_c_8cd5cca10c90|isl_c_91d30a38e9c3|isl_c_93c43495b148|isl_c_9586d9b575eb|isl_c_964909b24c84|isl_c_96d005a8e09b|isl_c_971cc47384d8|isl_c_980bcf8be427|isl_c_9946faa3bcc7|isl_c_9a202590df65|isl_c_9c0c0afda064|isl_c_9d5c2f21d3fe|isl_c_9d5d0d6d6cd1|isl_c_9f5ba1a6b967|isl_c_9fb5befcb616|isl_c_a0cae382c307|isl_c_a0ef8b043647|isl_c_a12aa732cd0a|isl_c_a21c239dcdc2|isl_c_a546bd046bc8|isl_c_a800e31ac56d|isl_c_a8cf52c3df51|isl_c_a91ebc82b271|isl_c_ac734430caee|isl_c_ae533e1cda2b|isl_c_af2ee2e3f9a2|isl_c_af97ea03d78d|isl_c_b31bcb7930cb|isl_c_b32c218c319b|isl_c_b3f02f30111f|isl_c_b410e4d1fbd9|isl_c_b5fdcbfb95a3|isl_c_b6fa54a920e3|isl_c_b750416078cb|isl_c_b90157030efa|isl_c_b9262ec14b73|isl_c_bad7878b2487|isl_c_bc29b7a4d5c7|isl_c_beed7812327b|isl_c_c059545f68da|isl_c_c084ffe542de|isl_c_c139a96c2fef|isl_c_c2d67f471ec3|isl_c_c421d88ed86e|isl_c_c5c36992a7f1|isl_c_c7150b03754e|isl_c_c74814748295|isl_c_c83efae27b7c|isl_c_c8f9f74730af|isl_c_cb3c411842c7|isl_c_cc39e39bda05|isl_c_cc76c133df32|isl_c_cda34a294aa9|isl_c_d1a590af4631|isl_c_d235f8e2dc62|isl_c_d3f2fabc01d0|isl_c_d42ae7db6fac|isl_c_d5f033b139d0|isl_c_d67601ae7db5|isl_c_d6f05c6a6312|isl_c_d8be13e95e65|isl_c_d900769e3bca|isl_c_d97865d00157|isl_c_db5058e35d98|isl_c_db7110d8a15b|isl_c_dc9f6af8e217|isl_c_dca41c10a217|isl_c_dd7570bf66f7|isl_c_e0a312879892|isl_c_e278d299c711|isl_c_e3f690f90dcf|isl_c_e497f48b6001|isl_c_e82c0036fcd7|isl_c_ea1313fafdc6|isl_c_ead6be491aec|isl_c_edb937c165f5|isl_c_ee1f020554f8|isl_c_f1abf6636e81|isl_c_f85a853b03dd|isl_c_fb802481bcc9|isl_c_fb8ee12992a6|isl_c_fd6fc2c9571a|isl_c_fe4fdb2a4cb7,139.64684,35.32432,0.6948,1.046,16.621,16.35,0.3402,0.4897,h6000_q+002186_r+000810,h6000_q+002186_r+000810,5,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,3ed4b031ff70
geography_v1_3_islands_006r_20260809,kanto,isl_u_e2a34f4845b3,isl_g_e2a34f4845b3,PRESERVED,257,isl_c_01bcdc09116a|isl_c_02258647167a|isl_c_030344f6d0c5|isl_c_034ea33cffd9|isl_c_03bd7eda5efc|isl_c_04360b38bdda|isl_c_06359bdf6262|isl_c_0693798471c2|isl_c_07b54506e4cc|isl_c_0814254305f9|isl_c_08fa7c50849c|isl_c_0b45a0061fda|isl_c_0c0b293450cd|isl_c_0d85ab2daa1f|isl_c_0fcc36b02840|isl_c_0ff5b0c4b73d|isl_c_104a0d05c793|isl_c_1061eb7cb99c|isl_c_1091e61236aa|isl_c_10a7b3151e94|isl_c_11226d117391|isl_c_1133983a627e|isl_c_12686e90546d|isl_c_15166596c891|isl_c_15eaee9891ff|isl_c_16b64a49e5d0|isl_c_1762dd7d9871|isl_c_17b8c29c5214|isl_c_17f38c05c24a|isl_c_189640795f95|isl_c_18b1c6648212|isl_c_18bab1938f3f|isl_c_193da461d6cd|isl_c_197c7c9a98b7|isl_c_19ae2e2716d0|isl_c_1a9e57af4135|isl_c_1cd52b282269|isl_c_1d07dc289ef4|isl_c_20172d63a360|isl_c_203c4d89f2f3|isl_c_23f5d8b69607|isl_c_24175b7c3c76|isl_c_252413733513|isl_c_25e4874b114b|isl_c_25ef743a5e39|isl_c_27173c4e91c5|isl_c_2a793119b19d|isl_c_2ac2ea7ca62b|isl_c_2ac906692c4b|isl_c_2b7d5ecee9cf|isl_c_2bc7e96ac535|isl_c_2c21967d2a00|isl_c_2dc2d30b2b6e|isl_c_2f46ee72e080|isl_c_2f84b78f964b|isl_c_325d983b856f|isl_c_3267e6a1fcb5|isl_c_329171d37c8e|isl_c_32d92d164a26|isl_c_32e9b8ef1971|isl_c_335ab728ace1|isl_c_339ab9644485|isl_c_354e09e9650b|isl_c_36e4f2f9a038|isl_c_37c226fa9d48|isl_c_3a6fd0ece34a|isl_c_3b2017607d16|isl_c_3b359637fdf9|isl_c_3b95720a9056|isl_c_3d2497877ae4|isl_c_4436644ec24f|isl_c_4960643957cd|isl_c_4a160d8da14a|isl_c_4a5fe6fc4e5a|isl_c_4c5aef5c2376|isl_c_4c640d498a95|isl_c_4cb88dc35ef2|isl_c_4d11b2f56efe|isl_c_4d1ada6b2f77|isl_c_4d4b23ef00f1|isl_c_5028466303cd|isl_c_52487686a2b7|isl_c_528fd02ec57c|isl_c_537756c779ec|isl_c_53ac874f7b4b|isl_c_53ee9db5387d|isl_c_56e4e3a4cb1b|isl_c_573718dc4824|isl_c_574a68383be9|isl_c_57ca46547b7e|isl_c_59a21a47af0d|isl_c_5a2c0d6d930c|isl_c_5a93121158c8|isl_c_5aa1e3b5911b|isl_c_5bd6651d5631|isl_c_5c07897087bd|isl_c_5c112cd286ca|isl_c_5cbdae5b4566|isl_c_5da780223cf3|isl_c_5df365f2737f|isl_c_5e0c60b06789|isl_c_5f7f9493adea|isl_c_60b5bcefe82e|isl_c_645e8ec8a1cb|isl_c_65b9a05edacd|isl_c_66471590d660|isl_c_6689a9a06e33|isl_c_66b72f2290e4|isl_c_67498b79c4b5|isl_c_681a8140eea5|isl_c_6820243fb8dc|isl_c_6998f78dbed0|isl_c_6a401553397d|isl_c_6a9829f38f75|isl_c_6d30b931d1b2|isl_c_6dc67214ac02|isl_c_6e1783d5d1c0|isl_c_6f2fd440a035|isl_c_713b61a4f7b8|isl_c_72505eef57b3|isl_c_73d43e37f15c|isl_c_74b244a132fe|isl_c_7639907fa172|isl_c_770d1bd1bc9a|isl_c_7736d0edeffa|isl_c_78776770614c|isl_c_7b294a62336d|isl_c_7c8363ff6bcb|isl_c_7e81aa71ca9e|isl_c_7f92b5a1d68c|isl_c_8096906b1631|isl_c_810080e91895|isl_c_814a633176a1|isl_c_816d7fea8a16|isl_c_83efc5c21a97|isl_c_8471f42d1e49|isl_c_84816856d8c8|isl_c_86328ac9d0d2|isl_c_8683ba6fced5|isl_c_86a460b8da55|isl_c_8947a763d248|isl_c_8961a76f45c1|isl_c_8a451e10160a|isl_c_8a8d6a56ddc2|isl_c_8d42c90345ec|isl_c_8e4629bf1569|isl_c_8f70eb33f683|isl_c_8fc742d35136|isl_c_902420a40300|isl_c_91e9ae911459|isl_c_925eb2f747f3|isl_c_92eceebd7550|isl_c_93695ba7b33e|isl_c_93cea8848853|isl_c_9430909ad76a|isl_c_948cf70cff87|isl_c_99496a6bce7b|isl_c_994d72984ed5|isl_c_9981e8b50500|isl_c_9a2d06599fc7|isl_c_9bf13d3970ac|isl_c_9ddd462f21eb|isl_c_9e0a67872476|isl_c_9f31a0ff16d0|isl_c_9f7a991e25ac|isl_c_9fbe6732c3b4|isl_c_a03eb1df377e|isl_c_a0bda0f5fbfe|isl_c_a38bffbe46c7|isl_c_a3940238d537|isl_c_a738ea841d77|isl_c_a75c13ba17af|isl_c_aa765e096a05|isl_c_abe5167f45c3|isl_c_acad8ef261c4|isl_c_acddf8d2eb35|isl_c_ae956b95e994|isl_c_af3d56e3ab2a|isl_c_afab04c2e554|isl_c_b01eadddfbb2|isl_c_b3bb97f86996|isl_c_b45722535d20|isl_c_b7f8fa36ed8b|isl_c_b8949dbe8929|isl_c_b8aa6d14115a|isl_c_bab233414260|isl_c_babe0afd1b45|isl_c_bbbb37a0f786|isl_c_bc2d143c5407|isl_c_bd03cdf48ff8|isl_c_bdc5263cc398|isl_c_be7c26f0fa9a|isl_c_bfb5a77f56c1|isl_c_c228529c8956|isl_c_c3f98c9cfa6c|isl_c_c4e525b3b7e6|isl_c_c4fbd1c8c396|isl_c_c55300db920c|isl_c_c6eff7e16ec2|isl_c_c92882690f8e|isl_c_cb4459e7aa01|isl_c_cb4fea2ecaa0|isl_c_cf02bd14e24b|isl_c_cff7b7a9130b|isl_c_d013c8ba9687|isl_c_d20cfd2184dd|isl_c_d244d5c83046|isl_c_d25fca2973a7|isl_c_d2fa9db90da3|isl_c_d308b3eb9f31|isl_c_d38020623b0e|isl_c_d3937d8a13e8|isl_c_d4606165a2c7|isl_c_d5af1e1caef6|isl_c_d625f545b688|isl_c_d76f0feb602b|isl_c_d9aa9131beab|isl_c_da5024655be7|isl_c_db898d94a5c3|isl_c_db96c1a5d1d2|isl_c_db9bf9d4bfc7|isl_c_de3242ac9ba1|isl_c_de9eb11e0fc7|isl_c_debdf29734d4|isl_c_df1c0026127f|isl_c_e0dfbc20eb5e|isl_c_e1155b1d03c0|isl_c_e1201260869e|isl_c_e3029ec1bca0|isl_c_e32e46141459|isl_c_e3c53792c050|isl_c_e3fcb3ed3368|isl_c_e46ece51df03|isl_c_e54273b120e0|isl_c_e5479980702e|isl_c_e596f154d9ea|isl_c_e5f1f68456bb|isl_c_e6d9cffbfce7|isl_c_e926be798c1f|isl_c_e94a766442b2|isl_c_e96b27d28435|isl_c_e96d0bf4fa0a|isl_c_ebf70f7f22a6|isl_c_ec817c9f402d|isl_c_ef135910eb88|isl_c_efa6203f1d85|isl_c_efd1d62826b5|isl_c_f16940ea8095|isl_c_f51ba572ccea|isl_c_f6355a95be05|isl_c_f891001043b7|isl_c_f9539d160694|isl_c_fa63f1564c25|isl_c_fa6f30f9fdf0|isl_c_fc68e05ab56e|isl_c_fe6eb5c903f6|isl_c_ffc018e73e21,139.61756,35.14178,1.0095,1.5131,30.676,18.073,0.8496,0.8417,h6000_q+002188_r+000805,h6000_q+002188_r+000805,5,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,e2a34f4845b3
geography_v1_3_islands_006r_20260809,kanto,isl_u_14766893dbd1,isl_g_14766893dbd1,PRESERVED,10,isl_c_0653aae8f359|isl_c_081cebacb8a1|isl_c_1f3f2d7adc78|isl_c_3346ad2c7d6c|isl_c_38ca61937ba8|isl_c_68a815b84685|isl_c_a3a1eb6e75f6|isl_c_af54ed67615d|isl_c_bd60848fa438|isl_c_de25ca9d96be,139.66632,35.44265,1.0341,1.5614,8.03,10.712,1.0206,0.9869,h6000_q+002185_r+000813,h6000_q+002185_r+000813,3,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,14766893dbd1
geography_v1_3_islands_006r_20260809,kanto,isl_u_6cb1f86ddfbc,isl_g_6cb1f86ddfbc,PRESERVED,5,isl_c_077101f9009b|isl_c_26f22615363d|isl_c_29dc905f4768|isl_c_2f2cd96c95d5|isl_c_a628311c6245,139.8146,35.59259,5.5247,8.373,10.588,3.544,5.5246,1.0,h6000_q+002186_r+000817,h6000_q+002186_r+000817,3,OCEAN,MULTI_COMPONENT_ARCHIPELAGO,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,6cb1f86ddfbc
geography_v1_3_islands_006r_20260809,kanto,isl_u_67b0fe21a344,isl_g_67b0fe21a344,PRESERVED,24,isl_c_0d574f28a416|isl_c_109d9f58f17e|isl_c_127249003035|isl_c_1859af1e4767|isl_c_1e0b96be8e86|isl_c_27d9f09a20c8|isl_c_2fbfdeef191e|isl_c_369e7f4e8f28|isl_c_56cc1d333579|isl_c_6256e2284b3c|isl_c_67eafaab6c75|isl_c_6e44d1220692|isl_c_7e63a749ffc9|isl_c_82a94f2eca96|isl_c_8c42d062bea7|isl_c_a3793cc6cfe3|isl_c_a630a5b6eb99|isl_c_aedac1c52c3f|isl_c_bcaeebb43592|isl_c_c3c79a872cdf|isl_c_cabadd1ee3a2|isl_c_d2a043e4e72d|isl_c_d4263753b07e|isl_c_fd9c79a47855,139.2805,34.51765,4.5726,6.7517,17.546,7.548,4.1312,0.9035,h6000_q+002190_r+000789,h6000_q+002190_r+000789,4,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,67b0fe21a344
geography_v1_3_islands_006r_20260809,wake,isl_u_3c53868a4ba5,isl_g_3c53868a4ba5,PRESERVED,3,isl_c_2711649d88ab|isl_c_9777b7fbceda|isl_c_d14a13e3840a,166.63601,19.29234,7.2484,8.1795,37.019,7.028,6.2662,0.8645,h6000_q+002881_r+000421,h6000_q+002881_r+000421,4,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,3c53868a4ba5
geography_v1_3_islands_006r_20260809,midway,isl_u_533f3771eb94,isl_g_533f3771eb94,PRESERVED,3,isl_c_0a42e49bc442|isl_c_290892305748|isl_c_91bf33e04fca,-177.36796,28.20827,5.9081,7.6363,20.672,7.409,4.5126,0.7638,h6000_q-003606_r+000630,h6000_q-003606_r+000630,3,OCEAN,MULTI_COMPONENT_ARCHIPELAGO,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,533f3771eb94
geography_v1_3_islands_006r_20260809,malta,isl_u_d1d60d2d0031,isl_g_d1d60d2d0031,PRESERVED,22,isl_c_087baaa0e6b9|isl_c_0a6039658d69|isl_c_0c55aa9e1d08|isl_c_0c95ea683026|isl_c_1f88a0bb9768|isl_c_3412fa932c75|isl_c_43b95930e886|isl_c_65b8aae22a26|isl_c_76e5a2988c0c|isl_c_7969b969b887|isl_c_8b41ffb0103b|isl_c_9310a2ce6e6c|isl_c_95558b0bc454|isl_c_9c9ccc1f8cb8|isl_c_9d231f7fd0b2|isl_c_b8013b32e77d|isl_c_ba58121a93bb|isl_c_c1d8b4e7806a|isl_c_c298d4424522|isl_c_ce5d60a59042|isl_c_da15bde06cab|isl_c_f2efbf6e09dd,14.33794,36.01011,3.0068,4.6047,19.494,17.739,2.7808,0.9248,h6000_q-000148_r+000828,h6000_q-000148_r+000828,4,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,d1d60d2d0031
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,isl_g_9b40909e69f8,PRESERVED,7,isl_c_2a45b19ef65b|isl_c_406cb8d69e99|isl_c_62e67beb8b30|isl_c_6ef237218cea|isl_c_82b6dd9b7932|isl_c_9d8938fbca76|isl_c_eba0c4e03473,-6.80433,61.74409,13.6935,60.8737,29.19,19.375,10.1698,0.7427,h6000_q-000974_r+001694,h6000_q-000974_r+001694,10,OCEAN,DISPERSED_MULTI_COMPONENT_GROUP,ISLAND_GROUP,SUB_HEX_OVERLAY,UNKNOWN,9b40909e69f8
